epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,10167.3,0.74812,0.99635,1.24271,0.99415,0.98671,0.99412,0.9782,0.18644,0.13478,0.7585,0.005776,0.005776,0.005776
66,10322.4,0.73282,0.97762,1.23328,0.99271,0.98758,0.99405,0.97816,0.1862,0.1345,0.75841,0.00571,0.00571,0.00571
67,10480,0.74323,0.99105,1.24166,0.99334,0.98742,0.9942,0.97832,0.18623,0.1344,0.7588,0.005644,0.005644,0.005644
68,10639,0.7532,1.004,1.24905,0.99343,0.98805,0.99429,0.97854,0.18614,0.1335,0.75874,0.005578,0.005578,0.005578
69,10797.1,0.74565,0.9972,1.24429,0.99334,0.98742,0.99434,0.97891,0.1855,0.13331,0.75838,0.005512,0.005512,0.005512
70,10955.2,0.73925,0.98862,1.23903,0.99272,0.98902,0.99436,0.97858,0.18514,0.13263,0.75845,0.005446,0.005446,0.005446
71,11113.1,0.73917,0.98692,1.23948,0.99316,0.98888,0.99439,0.97901,0.18531,0.13314,0.75874,0.00538,0.00538,0.00538
72,11271.8,0.737,0.9881,1.23767,0.99339,0.98791,0.99424,0.97836,0.18476,0.13313,0.75885,0.005314,0.005314,0.005314
73,11429.4,0.73941,0.9903,1.24311,0.99437,0.98718,0.99424,0.97876,0.18443,0.13256,0.75879,0.005248,0.005248,0.005248
74,11586.5,0.74518,0.98932,1.24147,0.99344,0.98848,0.99426,0.9791,0.18432,0.13209,0.7586,0.005182,0.005182,0.005182
75,11744,0.74077,0.98715,1.23459,0.99445,0.98718,0.99427,0.97927,0.18424,0.13173,0.75833,0.005116,0.005116,0.005116
76,11902.8,0.74214,0.98705,1.23971,0.99492,0.98718,0.99425,0.97926,0.18407,0.13133,0.75817,0.00505,0.00505,0.00505
77,12061.5,0.73054,0.97654,1.23336,0.99537,0.98724,0.99424,0.97909,0.18421,0.13111,0.75797,0.004984,0.004984,0.004984
78,12219.8,0.73742,0.9781,1.23729,0.99537,0.98742,0.99419,0.9792,0.18445,0.1314,0.75806,0.004918,0.004918,0.004918
79,12378.4,0.73565,0.98188,1.24095,0.99571,0.98742,0.99419,0.97871,0.18451,0.1314,0.75813,0.004852,0.004852,0.004852
80,12537,0.73576,0.97662,1.23409,0.99585,0.98755,0.9942,0.97878,0.18436,0.13114,0.75806,0.004786,0.004786,0.004786
81,12694.1,0.73311,0.98425,1.23566,0.99592,0.98742,0.99418,0.9793,0.18416,0.13076,0.75795,0.00472,0.00472,0.00472
82,12851.9,0.73372,0.97087,1.23497,0.99683,0.98709,0.99415,0.97938,0.18397,0.13026,0.75782,0.004654,0.004654,0.004654
83,13010.1,0.73408,0.9808,1.23484,0.99707,0.98765,0.99421,0.97906,0.18377,0.12973,0.7577,0.004588,0.004588,0.004588
84,13169.4,0.71776,0.95924,1.22588,0.99643,0.98767,0.99416,0.97994,0.18376,0.12966,0.75762,0.004522,0.004522,0.004522
85,13328.2,0.72166,0.96201,1.22495,0.99662,0.98767,0.99421,0.97913,0.18378,0.12894,0.75769,0.004456,0.004456,0.004456
86,13487.7,0.72497,0.96498,1.22778,0.99652,0.98767,0.9942,0.97915,0.18361,0.12942,0.7575,0.00439,0.00439,0.00439
87,13646.6,0.72549,0.96197,1.22771,0.99637,0.98767,0.9942,0.97926,0.18325,0.12886,0.75738,0.004324,0.004324,0.004324
88,13805.5,0.72521,0.9658,1.23018,0.99634,0.98753,0.99419,0.97966,0.18311,0.12883,0.7572,0.004258,0.004258,0.004258
89,13964,0.72729,0.97111,1.23178,0.99634,0.98748,0.99419,0.97923,0.18303,0.1287,0.75716,0.004192,0.004192,0.004192
90,14123,0.72044,0.95894,1.22395,0.99602,0.98767,0.99419,0.97922,0.1831,0.12819,0.7572,0.004126,0.004126,0.004126
91,14281.7,0.72733,0.96465,1.23064,0.99601,0.98767,0.99419,0.97956,0.18277,0.12799,0.75707,0.00406,0.00406,0.00406
92,14441.3,0.72035,0.96201,1.22427,0.99595,0.98767,0.9942,0.98011,0.18265,0.12779,0.75704,0.003994,0.003994,0.003994
93,14599.8,0.71935,0.95398,1.2237,0.99599,0.98767,0.99418,0.98022,0.18258,0.12763,0.75692,0.003928,0.003928,0.003928
